name,max_thickness,max_camber,leading_edge_radius,trailing_edge_angle,thickness_to_chord_ratio
goe308,0.0808386787400367,0.050366476310935944,0.00782800660690652,16.53828961456277,0.0808386787400367
goe309,0.08429205811051693,0.046672619073083774,0.0078020373317866385,12.635583906990878,0.08429205811051693
goe310,0.08143437067747475,0.04796169849779151,0.007872067073302607,16.723719543949972,0.08143437067747475
goe311,0.08435530384995892,0.06067264957905304,0.00835998328841986,11.475759016621922,0.08435530384995892
goe314,0.08036011308578188,0.04680823625849147,0.01077982224980464,11.669016102208445,0.08036011308578188
goe315,0.08069973970664879,0.04091262136847591,0.009956237001647118,10.206478043847664,0.08069973970664879
goe316,0.09065751618561829,0.04237085759620653,0.01007976453995812,9.314422285145548,0.09065751618561829
goe318,0.09117974550880314,0.04316476808323653,0.00997557993418905,6.1642308154879695,0.09117974550880314
goe319,0.10246379433656957,0.05751684930773562,0.01395687383352987,12.95282352617144,0.10246379433656957
goe320,0.12330973346087135,0.061851044580839634,0.016755011574005666,13.318229135337011,0.12330973346087135
goe321,0.11147117048581982,0.05141603067832281,0.013012336161421683,11.848387323092373,0.11147117048581982
goe322,0.13053619278694278,0.060148410597285595,0.012991570491619614,23.702296594895905,0.13053619278694278
goe323,0.11036930568158904,0.05166521211435502,0.013377914128482648,9.537128691353992,0.11036930568158904
goe324,0.1311321577481043,0.059347678319792437,0.015459325065724934,9.341330430723069,0.1311321577481043
goe325,0.08200024811907099,0.0466790255026974,0.007729855218927564,9.039876855411256,0.08200024811907099
goe326,0.08169709217983297,0.047205920462896976,0.007957598039701851,10.372523022610842,0.08169709217983297
goe329,0.10145345663744819,0.05530393436458416,0.010833622517969413,13.49960469127485,0.10145345663744819
goe328,0.08189883775992125,0.04350016805487506,0.0110855481339991,9.373537317809868,0.08189883775992125
goe330,0.10184389774389434,0.057524671313328314,0.010082186618050257,16.022658588451236,0.10184389774389434
goe335,0.06846178853436573,0.047985634857432596,0.007809861116435908,0.0010082191988245895,0.06846178853436573
goe331,0.10637331148723474,0.06863869995897075,0.012472025746381904,17.153235918364615,0.10637331148723474
goe336,0.08941407627762554,0.054010269347382844,0.009326968962098057,17.34144708502391,0.08941407627762554
goe332,0.11769989127455438,0.0635406094172249,0.012919913494814526,17.366585815553307,0.11769989127455438
goe342,0.05395047641443018,0.06215826844542218,0.00835775298410046,6.118938657582701,0.05395047641443018
goe344,0.07193487418829479,0.027039139810885265,0.010047410903283586,20.218967205115298,0.07193487418829479
goe346,0.05733494341628348,0.03792835891104224,0.008372472353427167,9.674357212964086,0.05733494341628348
goe358,0.108600026070512,0.05684363249308989,0.007951241464794574,7.9564382365716915,0.108600026070512
goe361,0.06792858837331048,0.05522084723460394,0.007395419743173015,0.0017555498398499447,0.06792858837331048
goe359,0.07796482817348233,0.05872006002876424,0.00824177533559854,11.70329419669983,0.07796482817348233
goe362,0.06595738505994386,0.05282166299646429,0.007739600799214275,0.0017849692377361931,0.06595738505994386
goe360,0.09663933446978012,0.05862690717818264,0.010756731658361116,10.68280845159219,0.09663933446978012
goe364,0.107832759261049,0.06507315604647841,0.010989650649411048,0.00028114144994419296,0.107832759261049
goe363,0.11058920128296866,0.05711803928935388,0.010299893178892159,12.44366867016377,0.11058920128296866
goe365,0.11693579781759197,0.051424343063055086,0.010462400272955703,16.691251661088625,0.11693579781759197
goe366,0.1312517846185195,0.07243949556079528,0.015405806811757052,17.43982382013088,0.1312517846185195
goe368,0.07699882119880916,0.038036347868402196,0.006483063896176802,0.0005490871808717055,0.07699882119880916
goe367,0.16282877242818167,0.0459625100231978,0.01658887978585153,21.70499107385544,0.16282877242818167
goe370,0.046512965351478246,0.057315887261086454,0.0062563969091981985,0.0010496674800248298,0.046512965351478246
goe369,0.05842411714889563,0.054484862161896186,0.007017937173440696,-2.282493983885037,0.05842411714889563
goe371,0.06936954033262467,0.04601942743279543,0.00824893176356328,0.0007857142311106147,0.06936954033262467
goe372,0.061922021571303325,0.043020393328755166,0.006736469441732548,0.0006616737576922853,0.061922021571303325
goe373,0.0649895259191174,0.05072464085848664,0.008368396759052446,0.0012001256064531859,0.0649895259191174
goe374,0.06440741050903119,0.0451959542754354,0.0073120510756023,9.521134244588044e-05,0.06440741050903119
goe375,0.0650047433102524,0.044771486205111746,0.0073287441592263065,0.00010742438184151493,0.0650047433102524
goe380,0.06543324177599799,0.05597484651689473,0.00619829330999231,0.00014984037737852048,0.06543324177599799
goe376,0.06591744020729172,0.04948437497580224,0.008999051115440448,13.158221828803468,0.06591744020729172
goe379,0.0644144450859318,0.052393015993680035,0.00629793131845816,12.443018816746465,0.0644144450859318
goe377,0.0644481967303838,0.03885186634359388,0.006454798931608038,12.469214800308915,0.0644481967303838
goe381,0.06374474512415272,0.057567425833645554,0.007289591011778186,7.996978443531193,0.06374474512415272
goe382,0.200213003118128,0.06029566863261897,0.017791979204882808,20.980954307541744,0.200213003118128
goe383,0.2016391745757672,0.04977623919313809,0.021642343499964755,20.8422601499269,0.2016391745757672
goe384,0.19556710053755078,0.06847589961633797,0.017964227288990237,20.25635597779107,0.19556710053755078
